Situacao	Var_Desconto	Descricao	Codigo	Avaliacao	Preco_Original	Preco_A_Vista	Produto	Desmembrar	Desconsiderar
OFERTA	-7%	Smart Tv 55” Philco 4k Ptv55g52r2c Roku Tv Led Dolby Audio Bi...	Cód. 1570679920		R$ 2.799,90 cada	R$ 2.599,90cada	tv	8x de R$ 324,99 s/juros	
		"Smart Tv Android Led 40"" Full Hd Tcl 40s615 Com Google Assist..."	Cód. 1567588966		R$ 1.998,00cada		tv	8x de R$ 249,75 s/juros	
OFERTA	-5%	Tv Philips 55 Polegadas Smart 4k Ambilight Com Comando De Voz	Cód. 1570535775		R$ 3.622,11 cada	R$ 3.437,90cada	tv	8x de R$ 429,74 s/juros	
		"Samsung Smart Tv 50"" Qled The Frame 2022 50ls03b Tela Matte"	Cód. 1569938133		R$ 3.858,29cada		tv	8x de R$ 482,29 s/juros	
		"Samsung Smart Tv 85"" Crystal Uhd 4k 85bu8000 2022 Painel Dyn..."	Cód. 1569938127		R$ 9.699,00cada		tv	8x de R$ 1.212,37 s/juros	
		"Samsung Smart Tv 65"" Qled 4k Q70c 2023 Modo Game Som Em Mov..."	Cód. 1571385057		R$ 6.063,90cada		tv	8x de R$ 757,99 s/juros	
		Smart Tv 43 Polegadas Led Hd Roku 3 Hdmi 1 Usb Aoc	Cód. 1571254306		R$ 1.714,00cada		tv	8x de R$ 214,25 s/juros	
OFERTA	-31%	"Samsung Smart Tv 43"" Qled The Frame 2022 43ls03b Tela Matte"	Cód. 1569938134		R$ 5.199,00 cada	R$ 3.549,00cada	tv	8x de R$ 443,62 s/juros	
OFERTA	-24%	Smart Gaming Tv 50 Polegadas Neo Qled 4k Samsung - Qn50qn90ca...	Cód. 1571483064		R$ 5.999,00 cada	R$ 4.515,49cada	tv	8x de R$ 564,44 s/juros	
		Smart Tv Philips 50 Polegadas Ambilight Led Ultra Hd 4k 50pug...	Cód. 1571111355		Produto Indisponível		tv		
OFERTA	-24%	"Smart Tv Samsung 55"" Crystal Uhd 4k 55cu8000 2023 Painel Dyna..."	Cód. 1571336243		R$ 3.669,00 cada	R$ 2.763,00cada	tv	8x de R$ 345,37 s/juros	
OFERTA	-45%	Smart Tv Oled 4k Uhd 65 Polegadas Samsung 4 Hdmi 2 Usb 144hz	Cód. 1571483065		R$ 20.967,18 cada	R$ 11.469,90cada	tv	8x de R$ 1.433,74 s/juros	
		"Smart Tv 50"" Philco 4k Ptv50m8gagcmbl Android Tv Led Bivolt"	Cód. 1571567709		R$ 2.299,90cada		tv	8x de R$ 287,49 s/juros	
OFERTA	-21%	Smart Tv 65 Samsung Business Uhd 4k Bluetooth 3 Hdmi, 1 Usb,	Cód. 1567588963		R$ 4.699,00 cada	R$ 3.699,00cada	tv	8x de R$ 462,37 s/juros	
		Smart Tv Led 43 Samsung Lh43bet Full Hd	Cód. 1567040079		R$ 1.899,00cada		tv	8x de R$ 237,37 s/juros	
OFERTA	-23%	Tv 32 Smart Hd Android Wifi Integrado Tl042m Multilaser	Cód. 1571587758		R$ 1.558,80 cada	R$ 1.198,80cada	tv	8x de R$ 149,85 s/juros	
