Situacao	Var_Desconto	Descricao	Codigo	Avaliacao	Preco_Original	Preco_A_Vista	Produto	Desmembrar	Desconsiderar
OFERTA	-32%	Smart Tv 43” Philco Led Ptv43e10n5sf Dolby Audio Bivolt	Cód. 1567378873		R$ 3.999,90 cada	R$ 2.699,90cada	tv	8x de R$ 337,49 s/juros	
		"Smart Tv Samsung 75"" Uhd 4k 75cu7700 2023 Processador Crysta..."	Cód. 1571333658		R$ 7.479,90cada		tv	8x de R$ 934,99 s/juros	
OFERTA	-25%	Smart Tv Philips 50 Polegadas Ambilight Led Ultra Hd 4k 50pug...	Cód. 1571111355		R$ 3.704,90 cada	R$ 2.750,90cada	tv	8x de R$ 343,86 s/juros	
OFERTA	-9%	Smart Tv Qn75qn85cagxzd 4k 75 Polegadas Neo Qled 4 Hdmi 120hz...	Cód. 1571457358		R$ 15.780,72 cada	R$ 14.278,90cada	tv	8x de R$ 1.784,86 s/juros	
OFERTA	-24%	Smart Gaming Tv 50 Polegadas Neo Qled 4k Samsung - Qn50qn90ca...	Cód. 1571483064		R$ 5.999,00 cada	R$ 4.515,49cada	tv	8x de R$ 564,44 s/juros	
		"Smart Tv Samsung Qled 4k 65"" Com Wifi, Bluetooth, Controle Re..."	Cód. 1571311420		R$ 4.854,69cada		tv	8x de R$ 606,84 s/juros	
OFERTA	-26%	"Samsung Smart Tv Tizen Fhd T5300 2020 Hdr 43"""	Cód. 1567043702		R$ 2.599,00 cada	R$ 1.899,00cada	tv	8x de R$ 237,37 s/juros	
OFERTA	-37%	"Smart Tv Samsung 75"" Crystal Uhd 4k 75cu8000 2023 Painel Dy..."	Cód. 1571333651		R$ 8.999,00 cada	R$ 5.617,89cada	tv	8x de R$ 702,24 s/juros	
OFERTA	-29%	"Smart Tv Led 43"" Google Tv Ultra Hd 4k Tcl 43p635 Comando De"	Cód. 1570851242		R$ 2.498,00 cada	R$ 1.769,00cada	tv	8x de R$ 221,12 s/juros	
OFERTA	-24%	"Samsung Smart Tv 55"" Qled 4k Q70c 2023 Modo Game Som Em Mov..."	Cód. 1571385061		R$ 4.999,00 cada	R$ 3.752,29cada	tv	8x de R$ 469,04 s/juros	
		"Smart Tv Lg 32"" Fhd Com Inteligência Artificial 32lq620bpsb –..."	Cód. 1570476645		R$ 1.190,50cada		tv	8x de R$ 148,81 s/juros	
		Smart Tv 70 4k Lg Uhd Thinq Ai Alexa Google Assistente 70ur87...	Cód. 1571598076		R$ 4.633,90cada		tv	8x de R$ 579,24 s/juros	
OFERTA	-20%	"Smart Tv Semp 50"" 4k Uhd Hdr Roku Wifi Dual Band Rk8600 – Biv..."	Cód. 1571045103		R$ 2.699,00 cada	R$ 2.149,00cada	tv	8x de R$ 268,62 s/juros	
OFERTA	-33%	"Samsung Smart Tv 50"" Qled The Frame 2022 50ls03b Tela Matte"	Cód. 1569938133		R$ 5.999,00 cada	R$ 3.999,00cada	tv	8x de R$ 499,87 s/juros	
OFERTA	-25%	"Samsung Smart TV 55"" QLED 4K The Serif 2022 55LS01B Branca, T..."	Cód. 1570803065		R$ 7.999,00 cada	R$ 5.999,00cada	tv	8x de R$ 749,87 s/juros	
		Smart Tv 43” Philco Ptv43g7er2cpblf Led Dolby Audio Bivolt	Cód. 1571503799		R$ 1.699,90cada		tv	8x de R$ 212,49 s/juros	
		Samsung Smart Tv Qled 4k Q60c 2023 Modo Game Tela Sem Limit...	Cód. 1571311421		R$ 3.307,90cada		tv	8x de R$ 413,49 s/juros	
OFERTA	-22%	Smart Tv 65 4k Lg Nanocell Thinq Ai, Alexa, Google Assistente...	Cód. 1571511318		R$ 6.348,00 cada	R$ 4.890,00cada	tv	8x de R$ 611,25 s/juros	
