Situacao	Var_Desconto	Descricao	Codigo	Avaliacao	Preco_Original	Preco_A_Vista	Produto	Data_Captura
Oferta	10	Smart Tv Semp 32 Led Hd Roku Wifi Dual Band 32r6500 – Bivolt	1571045104		1460.40	1314.33	Televisao	2023-10-05
		Smart Tv Led 32 Polegadas Aoc Roku Hd Com Wifi Entradas Hdmi	1567054677		2198.96		Televisao	2023-10-05
		Smart Tv Toshiba 65 Polegadas 4k 65c350l	1570903611		4098.96		Televisao	2023-10-05
		Smart Tv Lg 55 4k Quantum Dot Nanocell Com Inteligência Arti	1571377262		4998.00		Televisao	2023-10-05
		Smart Tv Samsung 70 Crystal Uhd 4k 70cu8000 2023 Painel Dyn	1571333652		7898.96		Televisao	2023-10-05
		Smart Tv Led 43 Google Tv Ultra Hd 4k Tcl 43p635 Comando De	1570851242		2494.96		Televisao	2023-10-05
		Smart Tv Tcl 65 4k Uhd Hdr Dolby Vision Borda Fina 65p735 –	1570851240		2848.00		Televisao	2023-10-05
		Samsung Smart Tv Tizen Fhd T5300 2020 Hdr 43	1567043702		1898.96		Televisao	2023-10-05
		Smart Tv 43pfg6918 43 Polegadas Full Hd Borderless Android Ph	1571598068		1899.92		Televisao	2023-10-05
		Smart Tv Android Led 32 Full Hd Tcl 32s5400af Google Assista	1571535138		1488.96		Televisao	2023-10-05
Oferta	35	Samsung Smart Tv 55 Qled The Frame 2022 55ls03b Tela Matte	1569938131		4398.96	4399.00	Televisao	2023-10-05
Oferta	10	Smart Tv Tcl 50 4k Uhd Hdr Google Assistant Borda Fina 506p6	1570652192		2378.00	2140.20	Televisao	2023-10-05
		Samsung Smart Tv 65 Qled 4k Q65c 2023 Modo Game Som Em Mov	1571385056		4698.96		Televisao	2023-10-05
Oferta	10	Smart Tv 58 Philco 4k Ptv58g70r2csgbl Roku Tv Led Dolby Audi	1571199451		3298.00	2968.20	Televisao	2023-10-05
		Smart Tv Lg 32 Fhd Com Inteligência Artificial 32lq620bpsb –	1570476645		1544.88		Televisao	2023-10-05
		Smart Tv Samsung 50 Uhd 4k 50cu7700 2023 Processador Crysta	1571333656		2498.96		Televisao	2023-10-05
		Smart Tv 43 Lg 4k Uhd Thinq Ai Hdr Bluetooth Alexa Google As	1571592318		2398.96		Televisao	2023-10-05
		Smart Tv Lg 4k Nanocell 50 Polegadas 50nano77sra Bluetooth,	1571511321		2368.00		Televisao	2023-10-05
		Smart Tv 50 Philco 4k Ptv50m8gagcmbl Android Tv Led Bivolt	1571567709	0	2299.92		Televisao	2023-10-05
Oferta	10	Smart Tv 40 Philco Led Ptv40g7er2cpblf Roku Tv Dolby Audio B	1571389671	0	1548.00	1393.20	Televisao	2023-10-05
Oferta	36	Smart Tv Samsung 65 Crystal Uhd 4k 65cu8000 2023 Painel Dyna	1571333655	0	3805.28	3805.29	Televisao	2023-10-05
Oferta	17	Smart Tv 32 Philco Led Ptv32g23agssblh Android Tv Bivolt	1571598069	0	1159.92	1159.90	Televisao	2023-10-05
		Smart Tv Led 24 Hd Hq Hqstv24np Netflix Youtube Hdmi Usb Wi	1570267263	0	1029.92		Televisao	2023-10-05
		Smart Tv Led 50 Ultra Hd 4k Samsung Lh50beahvggxzd Crystal 3	1567588962	0	2498.96		Televisao	2023-10-05
Oferta	5	Smart Tv Hd Aoc Roku Led 32 32s5135/78g, Wifi, 3 Hdmi, 1 U	1571134022	0	1094.88	1094.90	Televisao	2023-10-05
		Smart Tv 43 Polegadas Led Hd Roku 3 Hdmi 1 Usb Aoc	1571254306	0	1714.00		Televisao	2023-10-05
		Smart Tv 43pfg6918 43 Polegadas Full Hd Borderless Android Ph	1571598068	0	1899.92		Televisao	2023-10-05
		Smart Tv Android Led 32 Full Hd Tcl 32s5400af Google Assista	1571535138	0	1488.96		Televisao	2023-10-05
Oferta	10	Tv 32 Philco Led Ptv32t10edp Hd Recepcao Digital Bivolt	1570848799	0	1118.00	1006.20	Televisao	2023-10-05
Oferta	6	Smart Tv 55 Philco Ptv55g7eagcpbl 4k Led Dolby Audio Bivolt	1571567707	0	2799.92	2799.90	Televisao	2023-10-05
Oferta	56	Smart Tv Philco Led 50 Polegadas 4k Uhd 2 Usb 4 Hdmi Wi Fi	1566982230	0	2199.92	2199.90	Televisao	2023-10-05
		Smart Tv Samsung 65 Uhd 4k 65cu7700 2023 Processador Crysta	1571333662	0	4198.96		Televisao	2023-10-05
		Smart Tv Lg 4k Nanocell 50 Polegadas 50nano77sra Bluetooth,	1571511321	0	2368.00		Televisao	2023-10-05
		Smart Tv Samsung 43 Uhd 4k 43cu7700 2023 Processador Crystal	1571333654	0	2771.12		Televisao	2023-10-05
Oferta	22	Smart Tv Aiwa 32 Android, Hd, Comando De Voz, Dolby Áudio, H	1571099297	0	1408.88	1408.90	Televisao	2023-10-05
		Tv Lg 50 Led 4k Uhd Smart Pro 50uq801c0sb.bwz	1570692512	0	3498.96		Televisao	2023-10-05
Oferta	10	Tv 24 Philco Led Ptv24n19d Hd Receptor Digital Bivolt	1567296780	0	972.08	874.91	Televisao	2023-10-05
Oferta	16	Smart Tv 43 Pol Android Dled 2 Hdmi 2 Usb Wifi Aiwa	1571176426	0	1798.80	1798.80	Televisao	2023-10-05
		Samsung Smart Tv 32 Qled The Frame 2023 Ls03c Tela Matte D	1571440093	0	3428.96		Televisao	2023-10-05
