Situacao	Var_Desconto	Descricao	Codigo	Avaliacao	Preco_Original	Preco_A_Vista	Produto	Data_Captura
Oferta	5	Cozinha Completa 6 Pecas Évelin Com Aereo 3 Portas Vidro  Mo	1571452407	0	3360.96	3361.00	Cozinhas Completas	2023-10-05
Oferta	6	Cozinha Modulada 4 Pecas 100% Mdf Americana 1 Henn	1571124844	0	2768.96	2769.00	Cozinhas Completas	2023-10-05
Oferta	13	Kit Armario Aereo Basculante E Balcao 119cm Plla	1571591999	0	659.88	659.90	Cozinhas Completas	2023-10-05
Oferta	6	Cozinha Modulada 8 Pecas Mdf Evy 20 Henn	1570905350		3008.96	3009.00	Cozinhas Completas	2023-10-05
Oferta	28	Cozinha Completa 3 Pecas 6 Portas 1 Gaveta 2 Nichos Para Forn	1571345264		1479.68	1479.70	Cozinhas Completas	2023-10-05
Oferta	47	Cozinha Completa Madesa Reims 250002 Com Armario E Balcao  B	1567050766		1200.00	1199.99	Cozinhas Completas	2023-10-05
Oferta	29	Cozinha Completa Madesa 100% MDF Acordes Com Armario e Balcao	1566697323		1900.00	1899.99	Cozinhas Completas	2023-10-05
Oferta	48	Cozinha Completa De Canto Madesa Reims 262001 Com Armario E B	1567204164		1180.00	1179.99	Cozinhas Completas	2023-10-05
Oferta	40	Cozinha Completa De Canto Madesa Reims 392001 Com Armario E B	1567138872		1700.00	1699.99	Cozinhas Completas	2023-10-05
Oferta	48	Cozinha Completa Madesa Reims 250002 Com Armario E Balcao  P	1566984132		1200.00	1199.99	Cozinhas Completas	2023-10-05
Oferta	29	Cozinha Completa 100% Mdf Madesa Acordes 270006 Com Armario E	1567905408		2260.00	2259.99	Cozinhas Completas	2023-10-05
Oferta	7	Painel Para Edicao Cozinha Americana 1,5cm  Moveis Henn	1571493283		305.01	305.00	Cozinhas Completas	2023-10-05
Oferta	48	Cozinha Completa De Canto Madesa Reims 262001 Com Armario E B	1567227232		1180.00	1179.99	Cozinhas Completas	2023-10-05
Oferta	10	Cozinha Completa Madesa Agata 290001 Com Armario E Balcao se	1567170525		2480.00	2231.99	Cozinhas Completas	2023-10-05
Oferta	10	Cozinha Completa Madesa Agata 310001 Com Armario E Balcao se	1567436312		2440.00	2195.99	Cozinhas Completas	2023-10-05
Oferta	10	Cozinha Completa Madesa Agata 180003 Com Armario E Balcao se	1568319638		1540.00	1385.99	Cozinhas Completas	2023-10-05
Oferta	27	Kit Cozinha Anne 6 Portas 2 Gavetas Moveis Sul Angelin/damasco	1571391483		863.52	863.50	Cozinhas Completas	2023-10-05
Oferta	26	Cozinha Modulada Com Torre Quente Evidence Branco/prata	1569854502		1652.56	1652.53	Cozinhas Completas	2023-10-05
Oferta	26	Cozinha Modulada Com Paneleiro Duplo Evidence Poliman Moveis	1569854533		1505.12	1505.16	Cozinhas Completas	2023-10-05
Oferta	8	Cozinha Modulada 6 Pecas Mdf York 10 Henn	1570650619		2168.96	2169.00	Cozinhas Completas	2023-10-05
Oferta	6	Cozinha Modulada 7 Pecas Mdf Evy 19 Henn	1570888567		3058.96	3059.00	Cozinhas Completas	2023-10-05
Oferta	6	Cozinha Modulada 7 Pecas Mdf Evy 11 Henn	1570876934		2778.96	2779.00	Cozinhas Completas	2023-10-05
Oferta	6	Cozinha Modulada 7 Pecas Mdf Evy 7 Henn	1570865355		2978.96	2979.00	Cozinhas Completas	2023-10-05
Oferta	7	Cozinha Modulada 6 Pecas Mdf Evy 9 Henn	1570866346		2368.96	2369.00	Cozinhas Completas	2023-10-05
Oferta	6	Cozinha Modulada 7 Pecas Mdf Evy 15 Henn	1570888569		2678.96	2679.00	Cozinhas Completas	2023-10-05
Oferta	6	Cozinha Modulada 7 Pecas Mdf Evy 18 Henn	1570888575		2728.96	2729.00	Cozinhas Completas	2023-10-05
Oferta	5	Cozinha Modulada 9 Pecas Mdf Evy 14 Henn	1570888573		3368.96	3369.00	Cozinhas Completas	2023-10-05
Oferta	22	Cozinha Modulada 4 Pecas 9 Portas 3 Gavetas 310cm J Carvalho	1571195961		1547.28	1547.26	Cozinhas Completas	2023-10-05
Oferta	23	Cozinha Modulada 4 Pecas 9 Portas 3 Gavetas 310cm J Carvalho	1571195946		1505.12	1505.16	Cozinhas Completas	2023-10-05
Oferta	9	Cozinha Modulada 8 Pecas Mdf Evy 21 Henn	1570905351		1888.96	1889.00	Cozinhas Completas	2023-10-05
Oferta	6	Cozinha Modulada 6 Pecas Mdf Evy 17 Henn	1570888571		2828.96	2829.00	Cozinhas Completas	2023-10-05
